player_id,name_common,year_id,age,pos,team_id,tmRtg,franch_id,G,Min,MP%,MPG,P/36,TS%,A/36,R/36,SB/36,TO/36,Raptor O,Raptor D,Raptor+/-,Raptor WAR,PIE%,AWS%,USG%,AST%,TOV%,ORB%,DRB%,TRB%,STL%,BLK%,ORtg,%Pos,DRtg,2P%,3P%,FT%,3PAr,FTAr
robinmi01,Mitchell Robinson,2020,21,C,NYK,-6.5,NYK,61,1412,44.2,23.1,15.3,72.6,0.9,11.1,4.4,1,1.3,1.5,2.8,4,12.8,17.9,13.3,3.9,8.3,13.7,18.8,16.2,1.8,8,144,13.7,107.5,74.2,NA,56.8,0,43.4
portibo01,Bobby Portis,2020,24,C,NYK,-6.5,NYK,66,1393,43.6,21.1,17.5,53,2.6,8.9,1.3,1.9,-1.8,-1.2,-2.9,-0.1,10.8,10.1,21.4,11.1,10.4,6,20.4,12.9,1.1,1.2,106.8,20.9,113.4,49.3,35.8,76.3,31.7,15.8
morrima03,Marcus Morris,2020,30,SF,NYK,-6.5,NYK,43,1387,43.4,32.3,22.1,58.2,1.6,6.1,1.3,1.9,1.8,-0.6,1.2,2.8,10.6,10.7,24.4,6.8,9.2,3.6,14.7,9,1.2,1.2,113.3,22.7,114.6,44.4,43.9,82.3,41.5,31.1
paytoel01,Elfrid Payton,2020,25,PG,NYK,-6.5,NYK,45,1246,39,27.7,13.2,47,9.5,6.2,2.5,2.8,0.8,0.3,1.1,2.5,11.9,11.4,19.5,38.6,16.7,4.3,14.1,9.1,2.7,1.3,104.8,22,111.2,48.2,20.3,57,15.7,19.5
ntilila01,Frank Ntilikina,2020,21,PG,NYK,-6.5,NYK,57,1187,37.2,20.8,11,49.7,5.3,3.7,2.2,2.2,-2.3,0.1,-2.2,0.3,6.1,5.6,15.4,20.2,16.5,2,9.1,5.4,2.2,1.3,102.6,16.2,113.5,44.4,32.1,86.4,41.1,17.7
knoxke01,Kevin Knox,2020,20,SF,NYK,-6.5,NYK,65,1166,36.5,17.9,13.1,47,1.9,5.8,1.6,1.4,-3.4,-1.8,-5.2,-1.5,5.5,4.5,17.8,7.4,9.2,2.5,14.7,8.4,1,2.3,97.2,17,114.4,39.1,32.7,65.3,49.6,25.2
gibsota01,Taj Gibson,2020,34,C,NYK,-6.5,NYK,62,1025,32.1,16.5,13.5,61,1.9,9.5,2,1.7,-2.2,-0.5,-2.7,0,9.7,11.3,14.8,7.6,13.1,11.2,16.7,13.9,1.3,2.8,120.7,15.5,112.7,59.9,28.6,73.2,4.9,19.6
dotsoda01,Damyean Dotson,2020,25,SG,NYK,-6.5,NYK,48,836,26.2,17.4,14,52.7,2.5,4,1.2,0.9,-0.3,-1.4,-1.7,0.4,7.6,8,16.5,10,6.5,1.2,10.6,5.8,1.3,0.5,109.3,15.6,115.9,48,36.2,66.7,56.2,11.4
bullore01,Reggie Bullock,2020,28,SG,NYK,-6.5,NYK,29,684,21.4,23.6,12.5,50.2,2.2,3.6,1.5,1,-1.7,0.4,-1.3,0.5,5.8,6,15.6,8.8,7.5,2,8.8,5.3,1.8,0.4,104.7,14.9,115.2,46.9,33.3,81,49.6,9.4
ellinwa01,Wayne Ellington,2020,32,SG,NYK,-6.5,NYK,36,558,17.5,15.5,12,50.9,2.9,4.3,1.1,1.2,-0.4,0.3,-0.1,0.8,6.1,6.2,15,11,9.1,0.7,12,6.2,1.1,0.7,105.3,14.4,115.8,35.5,35,84.6,82.2,7.5
